"All countries","Todos los países"
"All fields","Todos los campos"
"All possible rates were fetched, please click on ""Save"" to apply","Todas las tarifas posibles fueron traídas, clic en ""Guardar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas las tarifas posibles fueron traídas, clic en ""Guardar"" para aplicar"
"All valid rates have been saved.","Todas las tarifas validas fueron guardadas exitosamente."
"Always (during development)","Siempre (durante el desarrollo)"
"Amounts","Cantidades"
"An error has occured while syncronizing media storages.","Se ha producido un error al sincronizar el almacenamiento de datos multimedia."
"An error occurred while clearing the JavaScript/CSS cache.","Se produjo un error al borrar la cache JavaScript/CSS."
"An error occurred while clearing the configurable swatches image cache.","Se produjo un error al borrar la caché de imágenes muestras configurables."
"An error occurred while clearing the image cache.","Se produjo un error al borrar la caché de imágenes."
"An error occurred while deleting URL Rewrite.","Se produjo un error al eliminar reescritura de URL."
"An error occurred while deleting email template data. Please review log and try again.","Se produjo un error al eliminar datos de la plantilla de email. Revise el log y vuelva a intentarlo."
"An error occurred while deleting record(s).","Se produjo un error al eliminar el Registro(s)."
"An error occurred while deleting this role.","Se produjo un error al eliminar un Rol."
"An error occurred while deleting this set.","Se produjo un error al eliminar este Conjunto"
"An error occurred while deleting this template.","Se produjo un error al eliminar esta Plantilla"
"An error occurred while finishing process. Please refresh the cache","Se produjo un error mientras terminaba el proceso. Por favor, actualice la caché"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Se produjo un error al reconstruir el estado del Catálogo/Inventario/Stock."
"An error occurred while rebuilding the catalog index.","Se produjo un error al reconstruir el índice del catálogo."
"An error occurred while rebuilding the flat catalog category.","Se produjo un error al reconstruir el flat catalog category."
"An error occurred while rebuilding the flat product catalog.","Se produjo un error al reconstruir el flat product catalog."
"An error occurred while rebuilding the search index.","Se produjo un error al reconstruir el índice de búsqueda."
"An error occurred while refreshing the Catalog Rewrites.","Se produjo un error al actualizar las Reescrituras del URL del Catálogo."
"An error occurred while refreshing the Layered Navigation indices.","Se produjo un error al actualizar los índices Capas Navegación."
"An error occurred while refreshing the catalog rewrites.","Se produjo un error al actualizar las Reescrituras del URL del Catálogo."
"An error occurred while refreshing the layered navigation indices.","Se produjo un error al actualizar los índices Capas Navegación."
"An error occurred while saving URL Rewrite.","Se produjo un error al guardar la Reescritura de URL."
"An error occurred while saving account.","Se produjo un error al guardar la cuenta."
"An error occurred while saving review.","Se produjo un error al guardar la Reseña."
"An error occurred while saving the customer.","Se produjo un error al guardar al cliente."
"An error occurred while saving this configuration:","Se produjo un error al guardar esta configuración:"
"An error occurred while saving this role.","Se produjo un error al guardar este Rol."
"An error occurred while saving this template.","Se produjo un error al guardar esta plantilla."
"An error occurred while updating the selected review(s).","Se produjo un error al actualizar la reseña(s) seleccionado."
"Any","Cualquiera"
"Any Attribute Set","Cualquier Conjunto de Atributos"
"Any Group","Cualquier Grupo"
"Any Status","Cualquier Estado"
"Any Store","Cualquier Tienda"
"Any Type","Cualquier Tipo"
"Any Visibility","Cualquier Visibilidad"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Los datos creados desde que la copia de seguridad fué realizada se perderán, incluyendo los administradores, clientes y pedidos."
"Archive file name:","Nombre de Archivo:"
"Are you sure that you want to delete this template?","¿Está seguro de que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","¿Está seguro que quiere borrar las etiquetas?"
"Are you sure you want to do this?","¿Esta seguro que desea hacer esto?"
"Are you sure you want to proceed?","¿¿Esta seguro que desea continuar?"
"Area","Área"
"As low as:","Más bajo Posible:"
"Assigned","Asignados"
"Associated Tags","Etiquetas Asociadas"
"Attribute Set Name:","Nombre del Conjunto de Atributos:"
"Attributes","Atributos"
"Authorization confirmed","Autorización confirmada"
"Authorize","Autorizar"
"Authorize application","Solicitud de Autorización"
"Authorized OAuth Tokens","Tokens OAuth Autorizados"
"Automatic (equalize price ranges)","Automático (igualar los rangos de precios)"
"Automatic (equalize product counts)","Automático (igualar el recuento de productos)"
"Average Order Amount","Importe promedio de pedidos"
"Average Orders","Pedidos promedio"
"BINARY","BINARIO"
"Back","Regresar"
"Back to Login","Volver al Inicio de Sesión"
"Backup","Respaldo"
"Backup Name","Nombre del Respaldo"
"Backup options","Options del Respaldo"
"Backups","Respaldos"
"Base currency","Divisa base"
"Bcc","Bcc"
"Bestsellers","Los más vendidos"
"Billing Address","Dirección de Envio"
"Billing Address: ","Dirección De Envio: "
"Billing Agreement","Acuerdo de pago"
"Billing Agreements","Acuerdo de pagos"
"Block Information","Bloque de Información"
"Both (without and with tax)","Ambos (con impuestos y sin ellos)"
"Both IPN and PDT","Both IPN and PDT"
"Browse Files...","Seleccionar Archivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","No pueden incluir opciones personalizadas en paquetes con precios dinámicos. Las opciones no se guardarán."
"CMS","CMS"
"CRITICAL","CRITICO"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Cache Control","Control de Cache"
"Cache Control (beta)","Control de Cache (beta)"
"Cache Management","Gestión de Cache"
"Cache Type","Tipo de Caché"
"Cancel","Cancelar"
"Cannot add new comment.","No se puede añadir nuevo comentario."
"Cannot add tracking number.","No se puede añadir el número de seguimiento."
"Cannot create an invoice without products.","No se puede crear una factura sin productos."
"Cannot create credit memo for the order.","No se puede crear la Nota de Remisión para el pedido."
"Cannot delete the design change.","No se puede eliminar el cambio de diseño."
"Cannot delete tracking number.","No se puede eliminar el número de seguimiento."
"Cannot do shipment for the order separately from invoice.","No se puede hacer el envío del pedido por separado de la factura."
"Cannot do shipment for the order.","No se puede hacer el envío del pedido."
"Cannot initialize shipment for adding tracking number.","No se puede inicializar el envío para añadir el número de seguimiento."
"Cannot initialize shipment for delete tracking number.","No se puede inicializar el envío para borrar el número de seguimiento."
"Cannot load track with retrieving identifier.","No se puede cargar la trayectoria con la recuperación de identificador."
"Cannot retrieve tracking number detail.","No se puede recuperar el detalle del número de seguimiento."
"Cannot save shipment.","No se puede guardar el envío."
"Cannot save the credit memo.","No se puede guardar la nota de remisión."
"Cannot send shipment information.","No se puede enviar la información del envío."
"Cannot update item quantity.","No se puede actualizar la cantidad del artículo."
"Cannot update the item\'s quantity.","No se pueden actualizar las cantidades de los artículos."
"Catalog","Catálogo"
"Catalog Price Rules","Reglas de precio del Catálogo"
"Catalog Rewrites","Reescrituras del Catálogo"
"Categories","Categorías"
"Category","Categoría"
"Category:","Categoría:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","La gráfica está desactivado. Si desea activar la gráfica, haga clic en <a href=""%s"">aquí</a>."
"Checkbox","Checkbox"
"Child Transactions","Transacciones Menores"
"Choose Store View:","Seleccione la vista de la tienda:"
"Choose an attribute","Seleccione un atributo"
"Chosen category does not associated with any website, so url rewrite is not possible.","La categoría elegida no está asociada a ningún sitio, por lo la reescritura de la URL no es posible."
"Chosen product does not associated with any website, so url rewrite is not possible.","La categoría elegida no está asociada a ningún sitio, por lo la reescritura de la URL no es posible."
"Clear","Borrar"
"Close","Cerrar"
"Code","Código"
"Comment text field cannot be empty.","El campo para comentarios no puede dejarse vacío."
"Complete","Completo"
"Config form fieldset clone model required to be able to clone fields","Los campos de la forma para clonar el model, son necesarios para poder clonar campos"
"Configuration","Configuración"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm token authorization Pop Up for admin","Confirme token de autorización Pop Up para el admin"
"Confirm token authorization for admin","Confirme token de autorización para el admin"
"Confirmation Of Authorization","Confirmación de la autorización"
"Confirmed email:","Confirmar email:"
"Connect with the Magento Community","Conectar con la Magento Community"
"Continue","Continuar"
"Convert to Plain Text","Convertir a texto plano"
"Cookie (unsafe)","Cookie (Insegura)"
"Country","País"
"Country:","País:"
"Coupons","Cupónes"
"Create","Crear"
"Create DB Backup","Crear Respaldo de BD"
"Create New Attribute","Crear atributo nuevo"
"Create URL Rewrite:","Crear Reescritura de la URL:"
"Created At","Creado el"
"Credit Card %s","Tarjeta de Crédito %s"
"Credit Memo History","Historial de las Notas de Remisión"
"Credit Memo Totals","Totales de las Notas de Remisión"
"Credit Memos","Notas de Remisión"
"Credit memo #%s comment added","Comentario #%s añadido a la Nota de Remisión"
"Credit memo #%s created","Nota de Remisión #%s creada"
"Credit memo\'s total must be positive.","El total de las Notas de Remisión debe de ser positivo"
"Currency","Divisa"
"Currency ""%s"" is used as %s in %s.","Divisa ""%s"" se utiliza como %s en %s."
"Currency Information","Información de la Divisa"
"Currency Setup Section","Sección para Establecer Divisa"
"Current Admin Password","Actual Contraseña del Administrador"
"Current Configuration Scope:","Alcance actual de la Configuración:"
"Current Month","Més Actual"
"Custom","Personalizar"
"Custom Variable ""%s""","Variable Personalizada ""%s"""
"Custom Variables","Variables Personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo del Cliente:"
"Customer Groups","Grupo de Clientes"
"Customer Name","Nombre del Cliente"
"Customer Reviews","Comentarios del Cliente"
"Customer Shopping Carts","Carrito de Compra del Cliente"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Tipos de impuestos al Cliente"
"Customer with the same email already exists.","Ya existe un Cliente con el mismo correo electrónico."
"Customers","Clientes"
"Customers by Number of Orders","Número de Pedidos por Cliente"
"Customers by Orders Total","Valor Total del Pedido por Cliente"
"DHTML Date/Time Selector","DHTML Selector de Fecha/Hora"
"Dashboard","Tablero"
"Data Format","Formato de Datos"
"Data transfer:","Trasnferencia de Datos:"
"Database","Base de Datos"
"Dataflow - Advanced Profiles","Flujo de datos - Perfiles Avanzados"
"Dataflow - Profiles","Flujo de datos - Perfiles"
"Date","Fecha"
"Date & Time","Fecha & Hora"
"Date Added","Fecha de Alta"
"Date Updated","Fecha de Actualización"
"Date selection:","Selección de Fecha:"
"Date selector","Selector de Fecha"
"Day","Día"
"Decimal separator:","Separador Decimal:"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Billing Address","Dirección de pago predeterminada"
"Default Config","Configuración predeterminada"
"Default Template from Locale","Plantilla predeterminada de configuración regional"
"Default Values","Valores Predeterminados"
"Default display currency ""%s"" is not available in allowed currencies.","Divisa de visualización por defecto ""%s"" no está disponible en divisas permitidas."
"Default scope","Alcance predeterminado"
"Delete","Borrar"
"Delete %s","Borrar %s"
"Delete %s '%s'","Borrar %s '%s'"
"Delete File","Eliminar Archivo"
"Delete Image","Eliminar Imagen"
"Delete Profile","Eliminar Perfil"
"Delete Role","Eliminar Rol"
"Delete Store","Eliminar Tienda"
"Delete Store View","Eliminar Vista de la Tienda"
"Delete Template","Eliminar Plantilla"
"Delete User","Eliminar Usuario"
"Delete Website","Eliminar Website"
"Description","Descripción"
"Design","Diseño"
"Design Section","Sección de Diseño"
"Details","Detalles"
"Developer Section","Developer Section"
"Direction:","Dirección:"
"Disable","Inhabilitar"
"Disabled","Inhabilitado"
"Display %s first","Mostrar %s primero"
"Display default currency","Mostrar la divisa predeterminada"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo GNU LGPL. Ver %s para más detalles."
"Do you really want to KILL parallel process and start new indexing process?","¿Realmente quiere anular el proceso en paralelo y empezar un proceso en paralelo de indexación?"
"Do you really want to proceed?","¿Realmente desea continuar?"
"Download","Descargar"
"Downloads","Descargas"
"Drag to move","Arrastre para mover"
"Drop-down","Desplegabel hacia abajo"
"Edit","Editar"
"Edit Design Change","Editar Cambio de Diseño"
"Edit Email Template","Editar plantilla de Email"
"Edit Order","Editar Pedido"
"Edit Poll","Editar encuesta"
"Edit Queue","Editar Cola"
"Edit Review","Editar Reseña"
"Edit Role","Editar Rol"
"Edit Store View","Editar Vista de la Tienda"
"Edit System Template","Editar Sistema de Plantillas"
"Edit Template","Editar Plantilla"
"Edit URL Rewrite","Editar Reescritura de URL"
"Edit User","Editar Usuario"
"Edit User '%s'","Editar Usuario '%s'"
"Edit Website","Editar Website"
"Email","Email"
"Email Address:","Dirección de Email:"
"Email to a Friend","Enviar email a un amigo"
"Email:","Email:"
"Enable","Habilitar"
"Enabled","Habilitado"
"Enclose Values In:","Adjuntar valores en:"
"Entity Attributes","Atributos de Entidad"
"Entity Type","Tipo de Entidad"
"Entity type:","Tipo de Entidad:"
"Error","Error"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Impuestos"
"Exclude media folder from backup","Excluir carpeta multimeda del BackUp"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar Filtros"
"Export to:","Exportar a:"
"Export:","Exportar:"
"FTP Host","FTP Host"
"FTP Host[:Port]","FTP Host[:Port]"
"FTP Login","FTP Login"
"FTP Password","FTP Password"
"FTP credentials","FTP credentials"
"Failed","Fracasado"
"Failed to add a product to cart by id ""%s"".","Fallo al añadir un producto al carrito por id ""%s""."
"Failed to cancel the billing agreement.","Error al cancelar el acuerdo de pago."
"Failed to clear the JavaScript/CSS cache.","Fallo al eliminar la cache JavaScript/CSS."
"Failed to delete the billing agreement.","Error al eliminar el acuerdo de pago."
"Failed to update the profile.","Error al actualizar el perfil."
"Field","Campo"
"Field Mapping","Asignación de Campos"
"File","Archivo"
"File Information","Información del Archivo"
"File System","Sistema de Archivos"
"File mode","Modo de Archivos"
"File name:","Nombre del Archivo:"
"File size should be more than 0 bytes","Tamaño del archivo debe ser más de 0 bytes"
"Finished profile execution.","Terminado perfil de ejecución."
"First Invoice Created Date","Fecha de Creación de la Primera Factura"
"First Name","Nombre"
"First Name is required field.","El Nombre es necesario."
"First Name:","Nombre:"
"Fixed","Arreglado"
"Flush Catalog Images Cache","Vaciar cache del catálogo de imágenes"
"Flush JavaScript/CSS Cache","Vaciar cache de JavaScript/CSS"
"Flush Swatch Images Cache","Vaciar cache de Imagenes de Muestra"
"For category","Por categoría"
"For latest version visit: %s","Para la versión más actualizada visite: %s"
"For product","Por producto"
"Forgot Admin Password","Olvido la Contraseña del Administrador"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot your user name or password?","¿Olvidó su nombre de usuario o contraseña?"
"From","Desde"
"GLOBAL","GLOBAL"
"Gb","Gb"
"General Information","Información General"
"General Section","Sección General"
"Get Image Base64","Obtén imagen Base64"
"Get help for this page","Obtén ayuda para esta página"
"Give the verifier code to application administrator","Dar el codigo de verificacion, al administrador"
"Global Attribute","Atributo Global"
"Global Record Search","Búsqueda de Registro Global"
"Global Search","Búsqueda Global"
"Go Today","Ir Hoy"
"Go to messages inbox","Ir a los mensajes de la bandeja de entrada"
"Go to notifications","Ir a las notificaciones"
"Google Base","Google Base"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Gran Total"
"Grid (default) / List","Cuadricula (predeterminado) / Lista"
"Grid Only","Solo Cuadricula"
"Group:","Grupo:"
"Guest","Invitado"
"HTTP (unsecure)","HTTP (inseguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Participa en el fortalecimiento de Magento - Reporte todas las fallas"
"Helper attributes should not be used in custom layout updates.","Helper attributes should not be used in custom layout updates."
"Helper for options rendering doesn't implement required interface.","Helper for options rendering doesn't implement required interface."
"Home","Inicio"
"ID","ID"
"ID Path","ID Path"
"IP Address","Dirección IP"
"IPN (Instant Payment Notification) Only","Solamente IPN (Instant Payment Notification)"
"Id","Id"
"If there is an account associated with %s you will receive an email with a link to reset your password.","
Si hay una cuenta asociada con %s usted recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"If this message persists, please contact the store owner.","Si este mensaje persiste, póngase en contacto con el administrador de la tienda."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor opcional para una vista específica de la tienda entonces se usará el valor (Admin) predeterminado."
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Images Cache","Cache de Imágenes"
"Import","Importar"
"Import Service","Importar Servicio"
"Import and Export","Importar y Exportar"
"Import and Export Tax Rates","Importar y Exportar Tarifas de Impuestos"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar Avanzado"
"Import/Export Profile","Importar/Exportar Perfil"
"Important: ","Importante: "
"Imported <strong>%s</strong> records","Registros <strong>%s</strong> importados"
"In","Dentro"
"In Database:","Dentro de la base de datos:"
"In File:","En archivo:"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Incoming Message","Mensaje Entrante"
"Insert Variable...","Insertar Variable..."
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz Local: %s"
"Invalid Form Key. Please refresh the page.","Clave formulario Inválida. Por favor, actualice la página."
"Invalid Import Service Specified","El servicio de importación seleccionado es inválido"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dato POST inválido (revisar la configuración de post_max_size y upload_max_filesize en su archivo php.ini)"
"Invalid Secret Key. Please refresh the page.","Clave Secreta Inválida. Por favor, actualice la página."
"Invalid User Name or Password.","Nombre de Usuario o Contraseña Inválida"
"Invalid directory: %s","Directorio inválido: %s"
"Invalid email address ""%s"".","Email inválido ""%s""."
"Invalid email address.","Email inválido."
"Invalid file: %s","Archivo inválido: %s"
"Invalid input data for %s => %s rate","Datos de entrada inválidos para %s => %s tarifa"
"Invalid parent block for this block","Bloque Pariente inválido para este bloque"
"Invalid parent block for this block.","Bloque Pariente inválido para este bloque."
"Invalid password reset token.","Token para el restablecimiento de contraseña inválido."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nombre del remitente inválido ""%s"". Por favor, use sólo caracteres y espacios visibles."
"Invalid timezone","Zona Horaria inválida"
"Invalidated","Invalidado"
"Inventory Stock Status","Estado de las existencias en el Inventario"
"Invoice #%s comment added","Comentario #%s añadido a la Nota de Remisión"
"Invoice #%s created","Nota de Remisión #%s creada"
"Invoice History","Historial de Notas de Remisión"
"Invoice Totals","Total de las Nota de Remisión"
"Invoice canceling error.","Error en la Nota de Remisión cancelada."
"Invoice capturing error.","Error en la Nota de Remisión capturada."
"Invoice voiding error.","Error la Nota de Remisión esta vacía."
"Invoices","Notas de Remisión"
"Is Closed","Está cerrada"
"Is Default","Es predeterminada"
"Issue Number","Número de Emisión"
"Items","Artículos"
"JavaScript seems to be disabled in your browser.","Parece estar deshabilitado en su navegador JavaScript."
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache de JavaScript/CSS"
"Kb","Kb"
"Last 24 Hours","Las últimas 24 horas"
"Last 5 Orders","Los últimos 5 pedidos"
"Last 5 Search Terms","Los últimos 5 términos de Búsqueda"
"Last 7 Days","Los últimos 7 días"
"Last Credit Memo Created Date","Fecha de la última Nota de Remisión"
"Last Invoice Created Date","Fecha de la última Nota de Remisión"
"Last Logged In (%s):","Última vez que accedió (%s):"
"Last Logged In:","Último inicio de sesión:"
"Last Name","Apellido"
"Last Name is required field.","El Apellido es necesario."
"Last Name:","Apellido:"
"Last updated: %s. To refresh last day\'s <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Última Actualización: %s. Para actualizar las últimas <a href=""%s"">estadísitcas</a>, click <a href=""%s"">aquí</a>."
"Latest Message:","Último mensaje:"
"Layered Navigation Indices","Índices de Navegación por Capas"
"Layered Navigation Indices were refreshed.","Los Índice de Navegación por Capas fue renovado satisfactoriamente"
"Leave empty to use tax identifier","Dejar vacío para usar identificador de impuestos"
"Lifetime Sales","Ventas de siempre"
"Lifetime statistics have been updated.","Las estadísticas de toda la vida se han actualizado."
"Links","Enlaces"
"Links with associated products will retain only after saving current product.","Vínculos con productos asociados conservarán sólo después de guardar producto actual."
"List (default) / Grid","Lista (predeterminado) / Cuadricula"
"List Only","Solo Lista"
"Load Template","Cargar Plantilla"
"Load default template","Cargar plantilla predeterminada"
"Loading...","Cargando..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Local"
"Log In","Iniciar Sesión"
"Log Out","Cerrar Sesión"
"Log in to Admin Panel","Acceder al Panel de Administracion"
"Log in to use <strong>%s</strong>","Iniciar Sesión para usar <strong>%s</strong>"
"Log into Magento Admin Page","Log into Magento Admin Page"
"Logged in as %s","Sesión Iniciada como %s"
"Login","Acceder"
"Low Stock","Poca disponiblidad"
"MAJOR","MAYOR"
"MINOR","MENOR"
"MS Excel XML","MS Excel XML"
"Magento Admin","Magento Admin"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel de Administración"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Magento Logo","Magento Logo"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc."
"Magento root directory","Carpeta raiz de Magento"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Asegúrese de que la codificación de datos en el archivo es consistente y se guarda en una de codificaciones soportadas (UTF-8 o ANSI)."
"Manage Attribute Sets","Manage Attribute Sets"
"Manage Attributes","Administrar Atributos"
"Manage Categories","Administrar Categorías"
"Manage Content","Administrar contenido"
"Manage Currency Rates","Gestión de tasas de cambio"
"Manage Customers","Administrar Clientes"
"Manage Options (values of your attribute)","Administrar Opciones (valores de tu atributo)"
"Manage Ratings","Administrar Clasificaciones"
"Manage Stores","Administrar Tiendas"
"Manage Tax Rules","Administrar reglas de Impuestos"
"Manage Tax Zones and Rates","Administrar zonas de impuestos y tarifas"
"Manage Titles (Size, Color, etc.)","Administrar Titluos (Tamaño, Color, etc.)"
"Manual","Manual"
"Matched Expression","Expresión Similar"
"Maximum sender name length is 255. Please correct your settings.","Longitud máxima de nombre del remitente es de 255. Por favor, corrija los ajustes."
"Mb","Mb"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Sincronización almacenamientos Medios ha finalizado!"
"Messages Inbox","Mensajes Bandeja de entrada"
"Month","Mpes"
"Most Viewed","Más vistos"
"Most Viewed Products","Productos más Vistos"
"Multiple Select","Selección Múltiple"
"My Account","Mi cuenta"
"My Applications","Mis aplicaciónes"
"N/A","N/A"
"NOTICE","NOTICIA"
"Name","Nombre"
"Name:","Nombre:"
"Never (production)","Nunca (producción)"
"New ","Nuevo "
"New API Key","New API Key"
"New Accounts","Nueva Cuenta"
"New Attribute","Nuevo Atributo"
"New Block","Nuevo Bloque"
"New Category","Nueva Categoría"
"New Class","Nueva Clase"
"New Condition","Nueva Condición"
"New Custom Variable","Nueva Variable Personalizada"
"New Customer","Nuevo Cliente"
"New Customers","Nuevos Clientes"
"New Design Change","Nuevo cambio de Diseño"
"New Email Template","Nueva Plantilla de Email"
"New Group","Nuevo Grupo"
"New Invoice","Nueva Nota de Remisión"
"New Item Type","Nuev Tipo de Artículo"
"New Memo","Nuevo Memo"
"New Memo for #%s","Nuevo Memo para #%s"
